iter,time,reward,steps,convergence,,,
283,0.1247,90,12,2.753401992,1.903411718,3.684312302,2.370979239
284,0.1652,90,12,2.958019444,1.957113539,3.233259948,2.319701066
285,0.1627,89,13,2.90175528,1.959481421,2.847140722,2.410818252
286,0.2143,91,11,2.994065654,2.398777489,2.239330172,3.061107362
287,0.1606,93,9,3.058785833,2.418436979,2.161899306,2.93251016
288,0.1784,88,14,2.957930397,2.384429533,1.472369113,2.964434399
289,0.1921,91,11,2.793261443,2.344937104,2.060563584,3.131439279
290,0.1578,90,12,2.454304577,2.288866933,2.523746513,2.469096232
291,0.1122,89,13,2.349809401,2.70361623,2.552406528,2.908088231
292,0.1165,93,9,1.787120079,3.19048873,2.471061456,3.465293123
293,0.1149,93,9,1.526372247,3.322006286,3.143975156,3.491389421
294,0.177,92,10,1.314196783,3.217431708,3.082021177,3.654738385
295,0.168,88,14,1.121298763,3.888911709,3.563226838,3.620787771
296,0.2196,90,12,1.007740006,3.576738622,4.238034974,2.97046461
297,0.1957,84,18,0.912354887,3.578283195,4.267241573,3.3138643
298,0.1512,91,11,0.965351376,3.728597019,4.760286443,3.270712898
299,0.178,88,14,1.04691896,3.843601888,4.194422688,3.765873623
300,0.1957,91,11,1.03572386,3.834071497,3.656546349,4.242308029
301,0.2068,90,12,1.013680972,3.314105348,4.138160283,3.790237183
302,0.1899,87,15,1.032425791,3.260304263,4.292309489,3.914628018
303,0.1361,89,13,1.032744286,2.882992579,4.06901281,4.001003739
304,0.1561,89,13,1.033971986,3.521699079,4.003110022,4.209928729
305,0.1768,93,9,1.0686837,2.864464231,3.928003011,4.404851482
306,0.1929,93,9,1.028461537,2.873605169,3.337934737,4.52610211
307,0.165,89,13,1.544212311,3.23874296,3.368300178,4.253097617
308,0.1316,91,11,1.417141509,3.215812795,3.340551324,4.92557045
309,0.2638,90,12,1.327586623,3.50873482,3.646184066,4.498822978
310,0.2764,88,14,1.344480534,3.983407516,3.798617565,4.13985311
311,0.1621,92,10,1.360700678,4.063301749,3.367277188,4.222438509
312,0.1557,93,9,1.394786555,3.731106652,3.411470542,4.087008953
313,0.2222,90,12,1.422396115,3.56853056,3.110543025,4.010163622
314,0.1668,88,14,2.149262072,2.974902514,3.229554772,3.732562511
315,0.1359,93,9,2.193966292,3.021342483,2.817658169,3.961858582
316,0.2207,89,13,2.207876955,2.916658687,2.775972446,4.262252544
317,0.1762,91,11,2.111144804,2.640469095,2.888714704,4.334771422
318,0.1474,91,11,2.095868051,2.487111805,2.509638346,3.89102249
319,0.1718,81,21,2.186530062,2.09845955,2.770860747,3.802051505
320,0.1735,84,18,2.635925778,1.970322598,2.576269915,3.663191729
321,0.1195,85,17,2.718188108,1.923641308,2.486161172,3.784800326
322,0.2067,91,11,3.109300254,1.903148558,3.042778993,3.410637791
323,0.1867,93,9,3.179476318,2.061810149,2.940690732,3.490799831
324,0.1871,88,14,2.548270177,2.020282117,2.778318522,3.598427919
325,0.1758,89,13,2.693693888,2.395864952,2.756336098,3.719485794
326,0.181,92,10,3.303990693,2.369264072,2.625143614,3.401202906
327,0.1422,92,10,2.996539227,2.412243284,3.025237742,3.281868299
328,0.1623,89,13,3.085028538,2.425922597,3.02598574,3.46238183
329,0.1351,90,12,3.001655808,2.45208588,2.459432171,3.72223831
330,0.1527,88,14,2.545995884,1.984754982,2.65261966,3.801712772
331,0.1504,92,10,2.544156575,2.026754263,2.603927158,3.606284159
332,0.1659,92,10,2.077625966,1.947372885,2.67161534,3.434385589
333,0.1611,88,14,1.96301323,1.733096609,2.619913049,3.40145816
334,0.1395,90,12,2.629421546,2.445709184,2.638425425,3.379745894
